In my car tire some noise was coming, so I gone service center all of them told noise was not came, it's was your illusion one engineer  came and he checked my car completely and he removed some problem in it. Then they repaired my car and give back to me.	 Issue Resolution	 Issue Resolution	Free Service / Discount	Roadside Assistance	
When, I was going to Bangalore car had a break down. so when I called them they came immediately and took the car. They also dropped me to bus stop as I wanted to go to Mysore. They repaired the break & also changed the heat motor. This experience was heart touching for me. 	 Roadside Assistance	 Personal Need	Quick Service	Issue Resolution	
Last year my car met with an accident that time bonnet & glass were broken. At that time, I called service center they came to my place and they took over my car for servicing. They helped me in claiming the insurance. Actually they are providing good service.	 Roadside Assistance	 Roadside Assistance	Quick Service	Issue Resolution	
In my car tire some noise was coming, so I gone service center all of them told noise was not came, it's was your illusion one engineer  came and he checked my car completely and he removed some problem in it. Then they repaired my car and give back to me.	 Issue Resolution	 Issue Resolution	Free Service / Discount	Roadside Assistance	
When, I was going to Bangalore car had a break down. so when I called them they came immediately and took the car. They also dropped me to bus stop as I wanted to go to Mysore. They repaired the break & also changed the heat motor. This experience was heart touching for me. 	 Roadside Assistance	 Personal Need	Quick Service	Issue Resolution	
Last year my car met with an accident that time bonnet & glass were broken. At that time, I called service center they came to my place and they took over my car for servicing. They helped me in claiming the insurance. Actually they are providing good service.	 Roadside Assistance	 Roadside Assistance	Quick Service	Issue Resolution	
When I purchased my new car, the staffs of Gargya Guwahati gave discount on cars accessories, For this I felt good. I got the accessories on discount. I communicated with the Toyotas sales officer and after that I talked to sales  manager. I felt good because their way of talking, behaving and their response is good. The name of the person with whom I had heart touching is Mr. Baiwong  and his designation is sales manager.   	 Free Service / Discount	 Personal Need	Free Service / Discount	Care from Staff	
One day, when I was driving. A staff member whose name is Vinit, he was in another car. He saw me and immediately called me. He was on a test drive and he wished me on a call, so this was my heart touching moment.	 Care from Staff	 Personal Need	Gift / Free Stuff	Care from Staff	
My car was met with an accident then I call on dealership to Deepak Sood. He ask me sir are you injured & told to leave your car there our staff person came & pick your car & will provide you other car to go your home. So he helped me a lot.	 Roadside Assistance	 Roadside Assistance	Pick up / Drop	Personal Need	
Whenever, we call in the sales office for any work, they give good suggestion. They help us and they provide us good service.	 Care from Staff	 Care from Staff	Issue Resolution	Personal Need	
I was far from Bikaner. My car was stopped automatically, I tried to start but it was not starting. I spoke to head, he said you call to customer care, if the work is not done then give me 1 hour time, I will send them over there and from there, I will repair the car. They came within 1 hour and repaired my car. I liked it very much.	 Quick Service	 Roadside Assistance	Issue Resolution	Pick up / Drop	
